x_um,y_um,contact_factor,electrical_contact_factor,thermal_contact_factor,sigma_s_m,k_w_mk
235.0,0.0,0.010576019447524655,0.010576019447524655,0.1014712466632855,1156.544342807713,28.11769973306284
240.0,0.0,0.009062651947879797,0.009062651947879797,0.10157898089453012,1005.3589295931918,28.12631847156241
245.0,0.0,0.007793455199152903,0.007793455199152903,0.10655524563827644,878.566174395375,28.524419651062114
250.0,0.0,0.00673677821551575,0.00673677821551575,0.11510826925093873,773.0041437300234,29.2086615400751
255.0,0.0,0.0055887585704637545,0.0055887585704637545,0.12306482771557187,658.3169811893291,29.84518621724575
260.0,0.0,0.004226251599167381,0.004226251599167381,0.125909797580577,522.2025347568214,30.07278380644616
265.0,0.0,0.002869247056574505,0.002869247056574505,0.12139835006614884,386.63778095179305,29.711868005291905
270.0,0.0,0.0019067894451933784,0.0019067894451933784,0.11115927841568377,290.48826557481846,28.8927422732547
275.0,0.0,0.0016725786446643912,0.0016725786446643912,0.10002026630297739,267.0906066019727,28.001621304238192
280.0,0.0,0.002360271047079581,0.002360271047079581,0.09301675164578069,335.79107760325013,27.441340131662457
285.0,0.0,0.004021238437868641,0.004021238437868641,0.09250197018002072,501.7217199430773,27.400157614401657
290.0,0.0,0.006551499148706582,0.006551499148706582,0.09784986190271773,754.4947649557876,27.827988952217417
295.0,0.0,0.009708856562886696,0.009708856562886696,0.10741066954879744,1069.9147706323809,28.592853563903795
300.0,0.0,0.013228760163021287,0.013228760163021287,0.12041342728915282,1421.5531402858264,29.633074183132223
305.0,0.0,0.016966060561723853,0.016966060561723853,0.13731435551761162,1794.9094501162128,30.98514844140893
310.0,0.0,0.020900901882425,0.020900901882425,0.1587410984274136,2188.0000980542577,32.69928787419309
315.0,0.0,0.024956650339358774,0.024956650339358774,0.18389356809119575,2593.1693689019417,34.71148544729566
320.0,0.0,0.02877238287253041,0.02877238287253041,0.20936448383907702,2974.361048965788,36.74915870712616
325.0,0.0,0.03166957097952916,0.03166957097952916,0.22946943713329182,3263.7901408549633,38.357554970663344
330.0,0.0,0.03293800584622544,0.03293800584622544,0.23864194295947924,3390.506784037922,39.091355436758334
335.0,0.0,0.032262337407153965,0.032262337407153965,0.23462479556144902,3323.0075069746813,38.769983644915925
340.0,0.0,0.02991806251431477,0.02991806251431477,0.21986900916244406,3088.8144451800454,37.589520732995524
345.0,0.0,0.026582394134116644,0.026582394134116644,0.20000586662415307,2755.581173998253,36.000469329932244
350.0,0.0,0.022995067645989273,0.022995067645989273,0.18100869815635398,2397.2072578343286,34.48069585250832
355.0,0.0,0.01976344992455512,0.01976344992455512,0.16722112937382408,2074.3686474630563,33.377690349905926
360.0,0.0,0.01731664206947682,0.01731664206947682,0.1606113432782621,1829.9325427407343,32.84890746226097
365.0,0.0,0.015814692834348682,0.015814692834348682,0.16027328091414086,1679.8878141514333,32.82186247313127
370.0,0.0,0.014978693795120549,0.014978693795120549,0.16195499037074595,1596.3715101325429,32.95639922965968
375.0,0.0,0.014102551795466647,0.014102551795466647,0.15894041757571817,1508.844924367118,32.71523340605745
380.0,0.0,0.01246097234785229,0.01246097234785229,0.1453071259439311,1344.8511375504438,31.62457007551449
385.0,0.0,0.009858332503368242,0.009858332503368242,0.1198828306548709,1084.8474170864874,29.59062645238967
390.0,0.0,0.006779639384230241,0.006779639384230241,0.0874198137099613,777.2859744846011,26.993585096796906
395.0,0.0,0.003987315851528643,0.003987315851528643,0.055633319581460845,498.3328535677114,24.450665566516868
400.0,0.0,0.0019885862529724256,0.0019885862529724256,0.030661393662030103,298.65976667194536,22.452911492962407
0.0,4.969012714285714,0.010730479388403536,0.010730479388403536,0.08006347812940588,1171.9748909015132,26.40507825035247
5.0,4.969012714285714,0.016643232527350844,0.016643232527350844,0.12662763748420242,1762.6589294823493,30.130210998736192
10.0,4.969012714285714,0.022527136833817702,0.022527136833817702,0.1769878215859007,2350.4609696983885,34.15902572687206
15.0,4.969012714285714,0.02685884959134638,0.02685884959134638,0.2221774797617734,2783.199074175503,37.77419838094187
20.0,4.969012714285714,0.02872791716546222,0.02872791716546222,0.25679013923085303,2969.9189248296757,40.543211138468244
25.0,4.969012714285714,0.028473008066856542,0.028473008066856542,0.28219086985144815,2944.4535058789684,42.57526958811585
30.0,4.969012714285714,0.02736409224462223,0.02736409224462223,0.3037116458386381,2833.6728152377605,44.296931667091044
35.0,4.969012714285714,0.026590536125407536,0.026590536125407536,0.32450082758088955,2756.394558928213,45.96006620647117
40.0,4.969012714285714,0.026576705196746157,0.026576705196746157,0.3426730966415669,2755.0128491549413,47.413847731325355
45.0,4.969012714285714,0.02714542020305404,0.02714542020305404,0.35406007828858194,2811.8274782850986,48.32480626308656
50.0,4.969012714285714,0.0279654107671813,0.0279654107671813,0.3561335477717044,2893.744535641412,48.490683821736354
55.0,4.969012714285714,0.028653891946633852,0.028653891946633852,0.3490906523460407,2962.523805468722,47.92725218768325
60.0,4.969012714285714,0.02875559529479549,0.02875559529479549,0.3353927020296304,2972.6839699500692,46.83141616237043
65.0,4.969012714285714,0.028001112721383496,0.028001112721383496,0.31977554094118066,2897.311160866211,45.58204327529445
70.0,4.969012714285714,0.02656930491542815,0.02656930491542815,0.3081838733574177,2754.273561051272,44.654709868593415
75.0,4.969012714285714,0.02494728248618989,0.02494728248618989,0.30452348619055225,2592.23352037037,44.36187889524418
80.0,4.969012714285714,0.02362149917803498,0.02362149917803498,0.30824246967303115,2459.7877678856944,44.65939757384249
85.0,4.969012714285714,0.022976669161504634,0.022976669161504634,0.3154023142752002,2395.369249234313,45.23218514201602
90.0,4.969012714285714,0.023263391596582018,0.023263391596582018,0.32139238962680117,2424.0128204985435,45.7113911701441
95.0,4.969012714285714,0.024461141463716505,0.024461141463716505,0.32272578036138877,2543.6680322252787,45.818062428911105
100.0,4.969012714285714,0.026309637840173063,0.026309637840173063,0.3183864222266158,2728.332820233289,45.47091377812926
105.0,4.969012714285714,0.028593933524647386,0.028593933524647386,0.31095532962114053,2956.533959112274,44.876426369691245
110.0,4.969012714285714,0.03115578303984452,0.03115578303984452,0.30501161578398556,3212.4627256804674,44.40092926271885
115.0,4.969012714285714,0.033394332813793906,0.033394332813793906,0.3023699941303248,3436.093848098011,44.18959953042598
120.0,4.969012714285714,0.03400163804329471,0.03400163804329471,0.2991596223353096,3496.7636405251415,43.93276978682477
125.0,4.969012714285714,0.03166345026996275,0.03166345026996275,0.28892077235553754,3263.178681969279,43.113661788443004
130.0,4.969012714285714,0.026202986691182012,0.026202986691182012,0.2682034516384361,2717.678370449083,41.45627613107489
135.0,4.969012714285714,0.018933419525532708,0.018933419525532708,0.23802778708609446,1991.4486106007175,39.04222296688756
140.0,4.969012714285714,0.011830102965405034,0.011830102965405034,0.20090060270149346,1281.8272862439628,36.07204821611948
145.0,4.969012714285714,0.006358222097398019,0.006358222097398019,0.15886045217869152,735.186387530062,32.70883617429532
150.0,4.969012714285714,0.002930095949897503,0.002930095949897503,0.11487629088715769,392.71658539476056,29.190103270972614
155.0,4.969012714285714,0.001155078724547257,0.001155078724547257,0.07405276279682652,215.39236458227097,25.92422102374612
