stage_id,i,j,x_um,y_um,normal_force_n,material_i,material_j,contact_type,reduced_radius_um,reduced_modulus_gpa,contact_radius_um,contact_radius_fraction,hertz_warning,electrical_resistance_ohm,electrical_conductance_s,thermal_constriction_resistance_k_w,thermal_interface_resistance_k_w,thermal_resistance_k_w,thermal_conductance_w_k,al_al_resistance_multiplier
stage5_rho095,37,2,233.974,69.0968,0.155451055,Al,Diamond,Al-Diamond,9.75,12.893521005694637,4.450710439389037,0.3423623414914644,True,5.617080765072605e+17,1.780284175755615e-18,278.6156328854578,200.86370067930787,479.4793335647656,0.0020855956242479532,1.0
stage5_rho095,37,48,216.842,83.9825,0.20223009800000002,Al,Al,Al-Al,6.500000000000001,6.733251038042868,5.270662430263556,0.40543557155873505,True,0.0025139155040398674,397.7858437934759,400.2731476856727,0.0,400.2731476856727,0.0024982939919449255,1.0
stage5_rho095,37,24,231.784,81.3388,0.20462078900000003,Al,Al,Al-Al,6.500000000000001,6.733251038042868,5.291350408895683,0.4070269545304372,True,0.0025040866652347267,399.3472006713724,398.7081705651981,0.0,398.7081705651981,0.002508100093816554,1.0
stage5_rho095,2,28,303.902,46.2336,0.18720672,Diamond,Al,Al-Diamond,9.75,12.893521005694637,4.7352029084103915,0.36424637757003014,True,5.279604799109338e+17,1.8940811633641566e-18,261.87631868062255,177.45283942478926,439.3291581054118,0.0022761976562458482,1.0
stage5_rho095,2,30,301.204,60.8688,0.535130522,Diamond,Al,Al-Diamond,9.75,12.893521005694637,6.720238552744057,0.5169414271341582,True,3.7201060354906323e+17,2.688095421097623e-18,184.52284039142467,88.10301297006315,272.6258533614878,0.0036680307009403527,1.0
stage5_rho095,2,24,247.191,78.5834,1.01760469,Diamond,Al,Al-Diamond,9.75,12.893521005694637,8.325771399264795,0.6404439537895997,True,3.002724768807322e+17,3.3303085597059183e-18,148.93965332387,57.399905279930536,206.33955860380053,0.0048463804360468436,1.0
stage5_rho095,2,27,262.745,87.0397,0.4411133080000001,Diamond,Al,Al-Diamond,9.75,12.893521005694637,6.3010777102606434,0.4846982854046649,True,3.967575254514022e+17,2.520431084104257e-18,196.79768491682302,100.2144780434506,297.0121629602736,0.0033668654846763075,1.0
stage5_rho095,2,64,290.084,79.6499,0.31915979800000005,Diamond,Al,Al-Diamond,9.75,12.893521005694637,5.656756824797743,0.43513514036905715,True,4.419493496769481e+17,2.262702729919097e-18,219.21350771599208,124.34408226457532,343.5575899805674,0.0029107201504602557,1.0
stage5_rho095,28,30,314.411,54.2869,0.349742072,Al,Al,Al-Al,6.500000000000001,6.733251038042868,6.326534742250868,0.48665651863468223,True,0.0020943534715002427,477.4743201698769,333.469225619018,0.0,333.469225619018,0.002998777467826912,1.0
stage5_rho095,28,75,328.477,45.3674,0.0382256043,Al,Al,Al-Al,6.500000000000001,6.733251038042868,3.024832920882556,0.23267945545250432,False,0.004380407231264213,228.2892770477401,697.4615446643122,0.0,697.4615446643122,0.0014337708044983317,1.0
stage5_rho095,30,8,321.198,71.7305,0.7704554630000001,Al,Diamond,Al-Diamond,9.75,12.893521005694637,7.588348977932042,0.5837191521486187,True,3.294524286205527e+17,3.0353395911728167e-18,163.41334715449824,69.09801154516744,232.51135869966566,0.004300865151675009,1.0
stage5_rho095,75,8,342.297,58.3512,0.28152834200000004,Al,Diamond,Al-Diamond,9.75,12.893521005694637,5.425071793608532,0.417313214892964,True,4.608233946222312e+17,2.170028717443413e-18,228.57531716376957,135.191429600844,363.7667467646136,0.002749014331007778,1.0
stage5_rho095,32,8,379.551,78.8364,0.36808302100000007,Al,Diamond,Al-Diamond,9.75,12.893521005694637,5.932167117512878,0.45632054750099066,True,4.214311482593819e+17,2.3728668470051516e-18,209.0361719917609,113.06635347538054,322.10252546714145,0.0031046015505457832,1.0
stage5_rho095,74,22,10.013,104.135,0.47423207600000006,Al,Al,Al-Al,6.500000000000001,6.733251038042868,7.00239995854273,0.5386461506571331,True,0.0018922083968990339,528.483015739074,301.2830820633761,0.0,301.2830820633761,0.003319137580349254,1.0
stage5_rho095,74,15,19.7879,91.6206,0.594809922,Al,Diamond,Al-Diamond,8.432432432432432,12.893521005694637,6.632444153988176,0.5101880118452443,True,3.769349491614968e+17,2.6529776615952705e-18,186.96538969191914,90.4509091826594,277.41629887457856,0.0036046908709286237,1.0
stage5_rho095,22,58,11.2917,122.398,0.5012404930000001,Al,Al,Al-Al,6.500000000000001,6.733251038042868,7.132886616701774,0.5486835859001366,True,0.0018575929650942302,538.3310654114547,295.77150944896584,0.0,295.77150944896584,0.0033809882563166412,1.0
stage5_rho095,15,31,62.3633,85.4242,0.11078127600000001,Diamond,Al,Al-Diamond,8.432432432432432,12.893521005694637,3.787648376314629,0.29135756740881763,True,6.6004014935317e+17,1.5150593505258517e-18,327.3898162286235,277.3453129006709,604.7351291292944,0.0016536165204092132,1.0
stage5_rho095,15,11,55.6618,102.262,1.0978968100000002,Diamond,Diamond,Diamond-Diamond,12.0,151.51515151515153,4.0251554383910335,0.1677148099329597,False,1.2421880537360415e+18,8.050310876782066e-19,92.01392990637343,0.0,92.01392990637343,0.01086791968365579,1.0
