x_um,y_um,voltage_v,jx_a_m2,jy_a_m2,jmag_a_m2,joule_w_m3,temperature_k
130.0,9.938025428571429,0.00481420514115031,-85871.17094300652,-1317072.42542169,1319868.7934053508,498002647.97332597,293.19846651439974
135.0,9.938025428571429,0.004930403616002735,-59266.726500569035,-990673.0854620415,992444.3093337654,381504397.0304517,293.19772097302643
140.0,9.938025428571429,0.005042777062562967,-38346.10767756118,-654719.8455301026,655841.825522725,257931480.45641485,293.19669878399804
145.0,9.938025428571429,0.005159359654049383,-23860.636017014225,-386079.6849492502,386816.3040535504,157169742.64326727,293.1954173742539
150.0,9.938025428571429,0.005292331960695264,-15454.013554127676,-212127.34680060894,212689.5338177151,91020204.11613464,293.1939421998635
155.0,9.938025428571429,0.0054689672005357026,-11692.984095652128,-119389.51256306686,119960.75019400251,55768334.23780978,293.1923907910189
160.0,9.938025428571429,0.005743521859459778,-10831.729923417246,-79379.01100152236,80114.62888083338,41816530.085353464,293.1909260784902
165.0,9.938025428571429,0.006171629815218241,-11673.016621599683,-67520.95317545916,68522.53961121618,40747622.16618375,293.1897182619791
169.99999999999997,9.938025428571429,0.006752178044191685,-13250.314326792108,-68326.61983980674,69599.55322049318,46716458.577354416,293.1888858311566
175.0,9.938025428571429,0.007443983561259913,-15042.109049443568,-74110.7928752906,75621.91921169136,56181662.40020156,293.1884750061864
179.99999999999997,9.938025428571429,0.008223584342945862,-17189.032180505827,-83428.54739453945,85180.89778621367,68597114.5153152,293.1884890820226
185.0,9.938025428571429,0.009062054391880818,-19764.09576409428,-101340.06210158541,103249.34705907576,87698214.33505906,293.1889051442924
189.99999999999997,9.938025428571429,0.009842475888071732,-22071.83574114841,-142536.21360112893,144235.01003823895,124449091.48252442,293.189648067637
195.0,9.938025428571429,0.010376714516204737,-20465.17544456969,-233969.3738230055,234862.70732729434,199413795.87590826,293.1905676505358
199.99999999999997,9.938025428571429,0.010579136127003995,-6775.715139508656,-409713.27711489523,409769.30065572105,339033361.70144415,293.1914642491895
205.0,9.938025428571429,0.01051293531441487,26232.11924358247,-691464.6362294534,691962.0417594739,559279919.639607,293.1921395598029
209.99999999999997,9.938025428571429,0.010274049800129024,78825.16607444063,-1056966.6712023057,1059901.8590601424,838341922.0127962,293.1924310506905
215.0,9.938025428571429,0.009927229610866818,142799.85113904008,-1421204.1885932584,1428360.2987903135,1103983207.1159253,293.19223104854706
219.99999999999997,9.938025428571429,0.009504672508898453,203595.61279029568,-1661808.8858771196,1674234.1373677724,1259677687.6323671,293.19150222028657
225.0,9.938025428571429,0.009016225893749716,246359.446788293,-1687825.630135114,1705710.5073144238,1242375061.3442824,293.1902813053478
229.99999999999997,9.938025428571429,0.008457216051843026,262255.74865572376,-1502516.2340544837,1525232.1499693883,1067347278.3955984,293.18866467888336
235.0,9.938025428571429,0.00781815216755988,250726.0089721452,-1201549.7853924718,1227430.412834795,816425881.7405863,293.1867873547552
239.99999999999997,9.938025428571429,0.007104374062252501,218757.7705308566,-902848.8240617597,928973.0681119519,578156901.3302777,293.18480441738257
245.0,9.938025428571429,0.006358909101881717,177447.26414452586,-671569.3914909794,694617.1457284519,396578348.99582255,293.1828700020836
250.0,9.938025428571429,0.0056521554698145396,135133.71057754324,-505033.8874345934,522800.48507222405,269242349.2452584,293.18111161454897
254.99999999999997,9.938025428571429,0.0050334699585536736,96238.4175381279,-373562.25476858305,385759.7583963765,177909416.76486185,293.17960916770124
260.0,9.938025428571429,0.004506541634979138,64142.01200084165,-260916.4902557076,268684.96904529823,110872810.51762372,293.17839173948335
265.0,9.938025428571429,0.004052613231730807,40335.68411125765,-172037.81428083812,176703.0756813568,64909473.07422763,293.17745587248993
270.0,9.938025428571429,0.0036716425682039614,25166.13340783339,-119930.01874715983,122542.00776629611,39499923.51071303,293.17679141832
274.99999999999994,9.938025428571429,0.0033934887416001047,18286.439539646562,-112583.71241286593,114059.13453862454,32020431.210109267,293.1763914730335
280.0,9.938025428571429,0.0032234951803887363,15971.024926725244,-150959.7089420537,151802.19814310875,37971845.852831006,293.17623542915896
285.0,9.938025428571429,0.0031314514761406464,14312.523636301048,-234220.7903876563,234657.6804254617,54523530.55581127,293.1762648513087
290.0,9.938025428571429,0.0030823859826943885,12671.587668286928,-358853.21665346203,359076.8723220303,80037575.21343295,293.1763867824345
294.99999999999994,9.938025428571429,0.003053131098877111,12834.123152594404,-515596.2397679146,515755.9473044483,112285504.94496092,293.17650535712323
300.0,9.938025428571429,0.0030284441010227058,18127.726235685663,-691035.6686584793,691273.3973014929,148252471.72748935,293.17654876571453
305.0,9.938025428571429,0.0029971333883330787,31628.675598853843,-871451.0628200962,872024.8436887637,184785364.10324898,293.1764759497949
310.0,9.938025428571429,0.002951916950370087,53391.03835335295,-1043893.8857676587,1045258.3640993029,218811242.68394575,293.176273367449
314.99999999999994,9.938025428571429,0.002890666299429674,78924.50543749062,-1194472.4346024513,1197077.0545723694,246955194.34300157,293.17595301482544
320.0,9.938025428571429,0.0028164883143880284,100995.76458867542,-1307792.8463205628,1311686.8045963144,265530822.60327452,293.1755505274407
325.0,9.938025428571429,0.002735469598309435,114212.57152349729,-1369413.2678478193,1374167.8244128893,271502181.38910466,293.17511520205545
330.0,9.938025428571429,0.002652982814868494,118606.06322936933,-1369650.7992259066,1374776.6036905537,263696853.4557299,293.17469095692564
335.0,9.938025428571429,0.0025707018312795017,118712.25068838209,-1306701.9725215835,1312083.3218417566,243276880.2832878,293.17429895042267
