% x_um y_um sigma_s_m k_w_mk
265 14.9070381429 34625.3886617 46.6872908037
270 14.9070381429 27273.5682794 45.7437466174
275 14.9070381429 33439.4377324 44.6600991176
280 14.9070381429 59013.6307445 44.4573153242
285 14.9070381429 100000 45.5502573218
290 14.9070381429 100000 47.6587768277
295 14.9070381429 100000 50.3047763889
300 14.9070381429 100000 53.271995108
305 14.9070381429 100000 56.6095274704
310 14.9070381429 100000 60.311931147
315 14.9070381429 100000 64.0876032277
320 14.9070381429 100000 67.4368346788
325 14.9070381429 100000 69.8823195177
330 14.9070381429 100000 71.0945684652
335 14.9070381429 100000 70.9018420198
340 14.9070381429 100000 69.3465443212
345 14.9070381429 100000 66.7870990089
350 14.9070381429 100000 63.8378912157
355 14.9070381429 100000 61.0733626711
360 14.9070381429 100000 58.7396106461
365 14.9070381429 100000 56.7144385973
370 14.9070381429 100000 54.6306531581
375 14.9070381429 100000 51.9768279638
380 14.9070381429 100000 48.2395902334
385 14.9070381429 100000 43.2175640368
390 14.9070381429 86158.585068 37.3183162602
395 14.9070381429 49862.3031584 31.4739705056
400 14.9070381429 24701.3017743 26.6461257474
0 19.8760508571 100000 32.6360372231
5 19.8760508571 100000 38.7886419828
10 19.8760508571 100000 44.7009071155
15 19.8760508571 100000 49.3155088224
20 19.8760508571 100000 52.2971286638
25 19.8760508571 100000 54.10965764
30 19.8760508571 100000 55.5163212629
35 19.8760508571 100000 57.0193268354
40 19.8760508571 100000 58.7162140679
45 19.8760508571 100000 60.5026987627
50 19.8760508571 100000 62.2284454674
55 19.8760508571 100000 63.6767857878
60 19.8760508571 100000 64.5858924592
65 19.8760508571 100000 64.811970318
70 19.8760508571 100000 64.4270746646
75 19.8760508571 100000 63.6128552867
80 19.8760508571 100000 62.523438035
85 19.8760508571 100000 61.2947749455
90 19.8760508571 100000 60.1146766168
95 19.8760508571 100000 59.2142225353
100 19.8760508571 100000 58.804585239
105 19.8760508571 100000 59.0132044176
110 19.8760508571 100000 59.7851042255
115 19.8760508571 100000 60.7742441286
120 19.8760508571 100000 61.3776768977
125 19.8760508571 100000 60.9596495439
130 19.8760508571 100000 59.06811248
135 19.8760508571 100000 55.4813326582
140 19.8760508571 100000 50.2165298068
145 19.8760508571 100000 43.6672023952
150 19.8760508571 49012.6625915 36.7019982023
155 19.8760508571 19870.6247975 30.4269032405
160 19.8760508571 6909.13761699 25.6824039202
165 19.8760508571 2100.37824386 22.705623917
170 19.8760508571 641.626930615 21.2301955382
175 19.8760508571 439.357148937 20.8710127309
180 19.8760508571 1111.57527349 21.4596402333
185 19.8760508571 3638.87521268 23.12205076
190 19.8760508571 10740.3464931 26.07654255
195 19.8760508571 27194.8422544 30.2799957326
200 19.8760508571 58597.4013259 35.1825175973
205 19.8760508571 100000 39.8337781939
210 19.8760508571 100000 43.3055493168
215 19.8760508571 100000 45.1024599794
220 19.8760508571 100000 45.2901420705
225 19.8760508571 100000 44.3734942441
