scenario_id,model,edge_id,i,j,x_um,y_um,z_um,normal_force_n,contact_radius_um,clean_resistance_ohm,source,film_resistance_ohm,resistance_ohm,included_in_transport,delta_v_fixed_voltage,abs_current_a_fixed_voltage,joule_power_w_fixed_voltage,delta_v_fixed_current,abs_current_a_fixed_current,joule_power_w_fixed_current,electric_field_v_m,exceeds_4e8_v_m,exceeds_5e8_v_m,is_shortest_path_edge,joule_rank
partial_f0e+00,partial_rupture,45,27,49,204.001,84.2122,23.3463,0.00393964606,1.4181940965100863,0.009342867829308979,liggghts_pair_gran_local,1899153319.4434967,1899153319.4434967,True,-0.01261011093547447,6.639859355415061e-12,8.372936306773192e-14,-424841782.24459946,0.22370062379644504,95037371.70291038,1050842.5779562057,False,False,False,10
partial_f0e+00,partial_rupture,46,64,50,268.209,74.3474,32.0873,0.0023960263900000005,1.2015646330898921,0.011027288616116194,liggghts_pair_gran_local,2645678693.023004,2645678693.023004,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,47
partial_f0e+00,partial_rupture,47,50,53,264.524,88.1515,32.0424,0.00284457683,1.272298925849252,0.010414219277247052,liggghts_pair_gran_local,2359679677.905412,2359679677.905412,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,48
partial_f0e+00,partial_rupture,48,50,65,288.66,88.0747,32.1476,0.00400383453,1.425854830753754,0.009292671115050059,liggghts_pair_gran_local,1878800861.5782382,1878800861.5782385,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,49
partial_f0e+00,partial_rupture,49,90,69,90.4916,92.4451,32.6844,0.006800040030000001,1.7011936809586103,0.0077886487284232805,liggghts_pair_gran_local,1319847796.251684,1319847796.251684,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,50
partial_f1e-12,partial_rupture,0,44,17,64.5421,13.6718,3.67623,1.5863159000000004e-07,0.04860860566423625,0.27258547779634584,liggghts_pair_gran_local,1616609201033.7808,272585.43183419853,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,31
partial_f1e-12,partial_rupture,1,18,93,150.873,20.1285,-22.8998,0.0028599508900000003,1.2745869364875182,0.010395524715257235,liggghts_pair_gran_local,2351215561.092641,10395.478753305428,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,32
partial_f1e-12,partial_rupture,2,18,59,148.383,12.3775,-2.68812,0.00419758634,1.4484932767164465,0.00914743631398559,liggghts_pair_gran_local,1820532372.3642397,9147.39035206151,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,33
partial_f1e-12,partial_rupture,3,20,62,281.998,22.9253,-28.7842,3.67690701e-05,0.29859153171085334,0.04437500261337245,liggghts_pair_gran_local,42842657313.58864,44374.956651265034,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,34
partial_f1e-12,partial_rupture,4,45,81,308.919,12.1886,-20.0559,0.007953806360000001,1.7924275437680532,0.007392209546247967,liggghts_pair_gran_local,1188907742.7131312,7392.163584378722,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,35
partial_f1e-12,partial_rupture,5,38,78,383.639,25.1791,-28.5752,1.9810899200000001e-07,0.0523461405823624,0.25312276803200423,liggghts_pair_gran_local,1393997641486.2046,253122.72206985758,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,36
partial_f1e-12,partial_rupture,6,92,89,224.56,44.5354,-32.8005,0.016893747400000002,2.3040501966404205,0.005750742765639427,liggghts_pair_gran_local,719527671.0113446,5750.696803851752,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,37
partial_f1e-12,partial_rupture,7,92,58,208.733,59.7592,-32.4349,0.0034924240300000004,1.3623611809383727,0.009725761556765447,liggghts_pair_gran_local,2058007023.754475,9725.715594827636,True,-2.7755575615628914e-17,2.853833771408037e-21,7.920979903675122e-38,-4.073526176915219e-12,4.1884076674847616e-16,1.706158827309159e-27,2.3129646346357427e-09,False,False,False,30
partial_f1e-12,partial_rupture,8,62,63,289.175,45.8424,-32.0868,1.9508542400000003e-05,0.24172684204441133,0.05481393745079266,liggghts_pair_gran_local,65370471369.76255,54813.89148867618,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,38
partial_f1e-12,partial_rupture,9,61,83,21.9302,81.9558,-16.2518,5.066593200000001e-06,0.1542251790355088,0.08591333842413189,liggghts_pair_gran_local,160590853842.4538,85913.29246200147,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,39
partial_f1e-12,partial_rupture,10,58,86,208.265,72.198,-20.0158,0.0009892813990000002,0.8947256451926925,0.014809008852257067,liggghts_pair_gran_local,4771463459.197457,14808.962890244697,True,0.002989406660153987,2.0186468710264906e-07,6.034556400745597e-10,438.73801978457135,0.029626518955867397,12.998280259807327,249117.2216794989,False,False,False,21
partial_f1e-12,partial_rupture,11,58,84,211.626,82.2618,-32.2737,0.010946737700000002,1.9937843148183019,0.00664565364544334,liggghts_pair_gran_local,960892985.881698,6645.607683606197,True,-0.0013415135156581715,2.01864687102656e-07,2.7080420608232075e-10,-196.88622201162377,0.029626518955868413,5.833053388576689,111792.79297151428,False,False,False,23
partial_f1e-12,partial_rupture,12,86,80,203.404,82.2945,-8.65533,0.0008678164080000001,0.8564970868480165,0.015469988402133563,liggghts_pair_gran_local,5206904268.424035,15469.942440115099,True,-0.0043309201758121585,2.799570969690005e-07,1.212471839624845e-09,-635.6242417961951,0.04108769274719202,26.11633354958895,360910.0146510132,False,False,False,20
partial_f1e-12,partial_rupture,13,86,27,205.84,74.3024,3.42063,0.00560881569,1.5954149626195457,0.008305049351075748,liggghts_pair_gran_local,1500666030.4125829,8305.003389175094,True,0.007218540981327751,8.691797754997356e-07,6.274209829586095e-09,1059.4237371901675,0.12756451593638618,135.1448762061809,601545.0817773126,False,False,False,15
partial_f1e-12,partial_rupture,14,86,22,215.637,82.4025,-0.442085,0.00229873807,1.1850766302035494,0.011180711577886885,liggghts_pair_gran_local,2719809620.157496,11180.665615920807,True,-0.0043309201758121585,3.873579914280869e-07,1.6776165403379748e-09,-635.6242417961951,0.05685030423332689,36.135431524191425,360910.0146510132,False,False,False,17
partial_f1e-12,partial_rupture,15,34,47,155.185,91.5236,-7.65325,5.19223071e-05,0.33499212540681506,0.039553168552571724,liggghts_pair_gran_local,34037854444.613735,39553.12259047011,True,0.0009981079466296755,2.5234618185876392e-08,2.5186872941488953e-11,146.48656198986035,0.0037035397560534113,0.5425188060570303,83175.66221913963,False,False,False,28
partial_f1e-12,partial_rupture,16,34,23,150.507,86.2647,3.21089,0.00596371636,1.6283793927307435,0.008136924391913452,liggghts_pair_gran_local,1440522937.4080133,8136.878430018052,True,0.0034292312347635745,4.2144309568552404e-07,1.4452258274002528e-09,503.2885426320925,0.06185277892015598,31.129794960470313,285769.2695636312,False,False,False,18
partial_f1e-12,partial_rupture,17,94,47,160.351,90.619,-21.36,3.18255231e-05,0.28456083157791356,0.04656297891219829,liggghts_pair_gran_local,47171656860.11378,46562.93295008864,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,40
