% x_um y_um sigma_s_m k_w_mk
280 9.93802542857 32562.0219546 45.5046642057
285 9.93802542857 32684.7047644 45.6038018298
290 9.93802542857 34274.3412843 46.8883565934
295 9.93802542857 36877.3092101 48.9917650182
300 9.93802542857 40255.6642767 51.7217489105
305 9.93802542857 44386.6724198 55.0599373089
310 9.93802542857 49140.0177951 58.9010244809
315 9.93802542857 54098.0599604 62.9075232003
320 9.93802542857 58662.5996306 66.5960401056
325 9.93802542857 62247.0093082 69.4925327743
330 9.93802542857 64375.4784247 71.2125078179
335 9.93802542857 64736.940494 71.504598379
340 9.93802542857 63298.2630467 70.3420307448
345 9.93802542857 60429.8581056 68.0241277621
350 9.93802542857 56870.0977033 65.1475536997
355 9.93802542857 53442.0254109 62.3773942715
360 9.93802542857 50676.5151964 60.1426385426
365 9.93802542857 48579.0975116 58.4477555649
370 9.93802542857 46604.789427 56.8523550925
375 9.93802542857 43812.9985938 54.5963625001
380 9.93802542857 39268.1320313 50.9237430556
385 9.93802542857 32641.1206582 45.5685823501
390 9.93802542857 24604.9337168 39.0746939126
395 9.93802542857 16585.8782788 32.5946491142
400 9.93802542857 9981.5002375 27.2577779697
0 14.9070381429 18900.5079284 34.4650569119
5 14.9070381429 28112.5280154 41.9091135478
10 14.9070381429 37408.7312693 49.4211969853
15 14.9070381429 45252.496776 55.7595933543
20 14.9070381429 51051.4871258 60.4456461622
25 14.9070381429 55360.7522598 63.927880614
30 14.9070381429 59164.2642407 67.0014256491
35 14.9070381429 62965.06574 70.072780396
40 14.9070381429 66524.5742932 72.949150944
45 14.9070381429 69252.7770949 75.1537592686
50 14.9070381429 70632.1855121 76.2684327371
55 14.9070381429 70410.8724458 76.0895938956
60 14.9070381429 68799.0546771 74.7871148906
65 14.9070381429 66629.0878211 73.0336063201
70 14.9070381429 65033.2970344 71.7440784116
75 14.9070381429 64670.3621098 71.4507976645
80 14.9070381429 65265.3128204 71.9315659154
85 14.9070381429 65943.4731279 72.4795742448
90 14.9070381429 65920.1094674 72.4606945191
95 14.9070381429 64914.4076577 71.6480061881
100 14.9070381429 63195.1807307 70.2587319036
105 14.9070381429 61413.3543768 68.8188722237
110 14.9070381429 60213.1850561 67.8490384292
115 14.9070381429 59723.1306365 67.4530348578
120 14.9070381429 59362.4505514 67.1615762031
125 14.9070381429 58210.4644269 66.2306783248
130 14.9070381429 55526.3313424 64.0616818929
135 14.9070381429 50894.6279091 60.3188912397
140 14.9070381429 44140.8036266 54.8612554558
145 14.9070381429 35497.4963292 47.8767647105
150 14.9070381429 25915.5773293 40.133799862
155 14.9070381429 16913.7945541 32.8596319629
160 14.9070381429 9853.09516879 27.154016298
165 14.9070381429 5284.52117536 23.4622393336
170 14.9070381429 2949.53619381 21.5753827829
175 14.9070381429 2307.80852631 21.0568149708
180 14.9070381429 3060.84729277 21.6653311457
185 14.9070381429 5295.58648483 23.4711809978
190 14.9070381429 9205.6581898 26.6308349008
195 14.9070381429 14617.5257384 31.0040612027
200 14.9070381429 20721.3281216 35.9364267649
205 14.9070381429 26305.4294649 40.4488318908
210 14.9070381429 30340.1112839 43.7091808355
215 14.9070381429 32404.1206103 45.3770671598
220 14.9070381429 32685.6215369 45.6045426561
225 14.9070381429 31781.1399783 44.8736484673
230 14.9070381429 30548.5014482 43.8775769279
235 14.9070381429 29936.1295825 43.3827309758
240 14.9070381429 30686.5374305 43.989121156
245 14.9070381429 33077.267032 45.9210238643
250 14.9070381429 36816.6936848 48.9427827756
255 14.9070381429 40988.2214248 52.3137142827
260 14.9070381429 44173.7737971 54.8878980179
265 14.9070381429 45156.5520192 55.6820622377
270 14.9070381429 43942.5015144 54.7010113248
275 14.9070381429 41983.8071088 53.1182279667
280 14.9070381429 41104.221665 52.4074518505
285 14.9070381429 42185.5916784 53.2812862047
290 14.9070381429 44929.6682795 55.498721842
295 14.9070381429 48645.1382081 58.5011217843
300 14.9070381429 52979.8681162 62.0039338313
305 14.9070381429 57915.455254 65.992287074
310 14.9070381429 63309.9119357 70.3514439884
315 14.9070381429 68661.6105264 74.6760489102
320 14.9070381429 73335.6336138 78.4530372637
325 14.9070381429 76879.7681279 81.3169843458
330 14.9070381429 79034.3754239 83.0580811506
335 14.9070381429 79563.2930287 83.4854893161
340 14.9070381429 78304.6152231 82.4683759378
345 14.9070381429 75465.1935398 80.1738937696
350 14.9070381429 71722.3323054 77.1493594387
355 14.9070381429 67866.9214571 74.033875925
360 14.9070381429 64322.4526081 71.1696586732
365 14.9070381429 61002.6541026 68.4869932142
370 14.9070381429 57460.3937005 65.6245605661
375 14.9070381429 53019.5075103 62.0359656649
380 14.9070381429 46945.134469 57.1273813891
385 14.9070381429 38896.0720624 50.6230885353
390 14.9070381429 29432.2551746 42.975559737
395 14.9070381429 19976.006476 35.3341466473
400 14.9070381429 12077.50266 28.951517301
0 19.8760508571 21230.0706992 36.3475318782
5 19.8760508571 31239.1027314 44.4356385708
10 19.8760508571 41033.9682167 52.3506813872
15 19.8760508571 48933.8267869 58.7344054844
20 19.8760508571 54343.3779842 63.1057599873
25 19.8760508571 57890.8817173 65.9724296706
30 19.8760508571 60673.9231402 68.2213520325
35 19.8760508571 63396.9877203 70.4218082588
40 19.8760508571 66121.1815073 72.6231769756
45 19.8760508571 68536.6703422 74.5750871452
50 19.8760508571 70240.5470675 75.9519572263
55 19.8760508571 70892.344816 76.4786624776
60 19.8760508571 70461.2476067 76.1303010963
65 19.8760508571 69437.1040951 75.3027103799
70 19.8760508571 68578.4435054 74.6088432367
75 19.8760508571 68284.7557884 74.371519829
80 19.8760508571 68290.4756237 74.3761419182
85 19.8760508571 68027.6188946 74.1637324401
90 19.8760508571 67189.2680122 73.4862771816
95 19.8760508571 65933.228928 72.4712961035
100 19.8760508571 64709.0016899 71.4820215676
105 19.8760508571 63970.5671722 70.8853068058
110 19.8760508571 63908.2395736 70.8349410695
115 19.8760508571 64270.5059462 71.1276815727
120 19.8760508571 64406.4187243 71.2375100802
125 19.8760508571 63519.5711387 70.5208655666
130 19.8760508571 60887.2911311 68.393770611
135 19.8760508571 55922.8078579 64.3820669559
140 19.8760508571 48324.5745542 58.2420804479
145 19.8760508571 38472.3688438 50.280702096
150 19.8760508571 27674.8338156 41.5554212652
155 19.8760508571 17758.0423725 33.5418524222
