x_um,y_um,contact_factor,sigma_s_m,k_w_mk
170.0,0.0,0.007547200097842974,1747.1728096864545,20.603776007827438
175.0,0.0,0.004658848146296994,1461.2259664834023,20.37270785170376
180.0,0.0,0.006614764339407855,1654.8616696013776,20.529181147152627
185.0,0.0,0.013235233814122775,2310.288147598155,21.058818705129823
190.0,0.0,0.024700494578933998,3445.348963314466,21.97603956631472
195.0,0.0,0.04024431242251309,4984.186929828797,23.219544993801048
200.0,0.0,0.05773540872013496,6715.805463293361,24.6188326976108
205.0,0.0,0.07473168086982394,8398.43640611257,25.978534469585917
210.0,0.0,0.08980940427088509,9891.131022817624,27.18475234167081
215.0,0.0,0.1023987001270471,11137.471312577663,28.191896010163767
220.0,0.0,0.11144834898033722,12033.386549053384,28.915867918426976
225.0,0.0,0.1153510656577547,12419.755500117715,29.228085252620374
230.0,0.0,0.11404809466525101,12290.76137185985,29.123847573220083
235.0,0.0,0.11076398061133186,11965.634080521853,28.86111844890655
240.0,0.0,0.11066927773423835,11956.258495689597,28.85354221873907
245.0,0.0,0.117395943332098,12622.198389877702,29.39167546656784
250.0,0.0,0.13049848196750702,13919.349714783195,30.43987855740056
255.0,0.0,0.1453798566991867,15392.605813219485,31.630388535934937
260.0,0.0,0.15539081078370673,16383.690267586966,32.43126486269654
265.0,0.0,0.15553312747009224,16397.77961953913,32.44265019760738
270.0,0.0,0.146036550142064,15457.618464064335,31.682924011365117
275.0,0.0,0.1326151290879531,14128.897779707355,30.609210327036248
280.0,0.0,0.12248062291172049,13125.581668260329,29.79844983293764
285.0,0.0,0.119792554296078,12859.462875311723,29.58340434368624
290.0,0.0,0.12468387418609418,13343.703544423324,29.974709934887535
295.0,0.0,0.13560604466432943,14424.998421768614,30.848483573146353
300.0,0.0,0.15166556669778358,16014.891103080574,32.133245335822686
305.0,0.0,0.17295148464938626,18122.196980289238,33.8361187719509
310.0,0.0,0.19941045286635528,20741.634833769174,35.952836229308424
315.0,0.0,0.22951715629392258,23722.198473098335,38.361372503513806
320.0,0.0,0.2594534308111189,26685.889650300767,40.756274464889515
325.0,0.0,0.2834460933808154,29061.163244700725,42.675687470465235
330.0,0.0,0.29583671857652927,30287.835139076396,43.66693748612234
335.0,0.0,0.2939965717711695,30105.66060534578,43.51972574169356
340.0,0.0,0.2797728216060032,28697.509338994318,42.38182572848025
345.0,0.0,0.2583478946996714,26576.44157526747,40.66783157597371
350.0,0.0,0.23588892668377978,24353.0037416942,38.87111413470238
355.0,0.0,0.2177046876335895,22552.76407572536,37.41637501068716
360.0,0.0,0.2070033670085133,21493.333333842817,36.56026936068106
365.0,0.0,0.2036060895515003,21157.00286559853,36.28848716412003
370.0,0.0,0.2030214276449983,21099.121336854834,36.24171421159986
375.0,0.0,0.19750803385335883,20553.295351482524,35.800642708268704
380.0,0.0,0.17999426645901456,18819.43237944244,34.39954131672117
385.0,0.0,0.1487906402029849,15730.273380095507,31.903251216238793
390.0,0.0,0.1091606266598118,11806.902039321369,28.732850132784943
395.0,0.0,0.07010174100175036,7940.072359173286,25.60813928014003
400.0,0.0,0.039061697195346544,4867.108022339307,23.124935775627723
0.0,4.969012714285714,0.10397167582653191,11293.195906826659,28.317734066122554
5.0,4.969012714285714,0.1649571321727299,17330.75608510026,33.19657057381839
10.0,4.969012714285714,0.2313824802868899,23906.8655484021,38.51059842295119
15.0,4.969012714285714,0.2915658987905616,29865.0239802656,43.325271903244925
20.0,4.969012714285714,0.3382010618910544,34481.905127214384,47.056084951284355
25.0,4.969012714285714,0.37267734176019635,37895.05683425944,49.81418734081571
30.0,4.969012714285714,0.4017871308968015,40776.92595878335,52.14297047174412
35.0,4.969012714285714,0.4300026225526997,43570.25963271727,54.400209804215976
40.0,4.969012714285714,0.4555403592538808,46098.4955661342,56.44322874031047
45.0,4.969012714285714,0.47317615194343876,47844.43904240044,57.8540921554751
50.0,4.969012714285714,0.4787310223637275,48394.37121400902,58.2984817890982
55.0,4.969012714285714,0.4708083126787699,47610.02295519822,57.66466501430159
60.0,4.969012714285714,0.4514017660039026,45688.77483438636,56.11214128031221
65.0,4.969012714285714,0.4269957645634021,43272.580691776806,54.159661165072166
70.0,4.969012714285714,0.40715802679799407,41308.644653001415,52.57264214383952
75.0,4.969012714285714,0.39911732691577173,40512.615364661404,51.92938615326174
80.0,4.969012714285714,0.40312460792332644,40909.336184409316,52.24996863386612
85.0,4.969012714285714,0.4132030388051374,41907.100841708605,53.056243104410996
