stage_id,i,j,nx,ny,gap_um,overlap_um,force_x,force_y,normal_force,contact_point_x_um,contact_point_y_um,source,force_unit
stage5_rho095,43,8,0.938485593,-0.345318392,-4.69293388,4.69327,-47672.8,28492,54579.1123,313.656,107.043,liggghts_pair_gran_local,dyne
stage5_rho095,43,4,-0.408200575,0.912892267,-4.95939995,4.95909,30155.3,-51453.6,59281.0558,297.756,121.863,liggghts_pair_gran_local,dyne
stage5_rho095,8,23,0.913206751,0.407496539,-4.32842952,4.32861,-41887,-24765.1,48343.2338,379.603,109.361,liggghts_pair_gran_local,dyne
stage5_rho095,8,5,0.149713709,0.988729389,-1.41382706,1.41416,-7693.49,-150569,150023.766,352.686,132.652,liggghts_pair_gran_local,dyne
stage5_rho095,23,40,-0.00782395757,0.999969392,-5.29436625,5.29497,-2172.72,-27905.6,27887.8469,390.406,124.57,liggghts_pair_gran_local,dyne
stage5_rho095,58,3,0.557377159,0.830259419,-4.68948582,4.68984,-22900.6,-50291.5,54519.1867,18.2782,141.296,liggghts_pair_gran_local,dyne
stage5_rho095,52,21,0.916108728,0.400929918,-6.16610971,6.16644,-32368.3,-13458.1,35048.6984,90.4707,154.064,liggghts_pair_gran_local,dyne
stage5_rho095,52,73,0.831195955,-0.555979573,-2.130418,2.13041,-6383.57,3257.79,7117.2722,91.306,143.453,liggghts_pair_gran_local,dyne
stage5_rho095,52,3,-0.902580794,0.430520511,-3.99299576,3.99318,33784.7,-28665.2,42834.1839,70.5532,155.255,liggghts_pair_gran_local,dyne
stage5_rho095,52,19,0.182671381,0.983174027,-2.63180741,2.63212,-131.09,-9917.09,9774.17155,83.5201,161.576,liggghts_pair_gran_local,dyne
stage5_rho095,21,73,0.0784597342,-0.996917283,-4.7113732,4.71223,-1401.62,23375.3,23413.2035,100.391,147.428,liggghts_pair_gran_local,dyne
stage5_rho095,21,76,0.971244792,-0.23808308,-6.4732029,6.4735,-34517.6,17532,37698.888,109.038,155.715,liggghts_pair_gran_local,dyne
stage5_rho095,21,19,-0.679174274,0.733977047,-5.53205749,5.53185,26085.9,-16435.5,29780.0509,92.605,165.551,liggghts_pair_gran_local,dyne
stage5_rho095,21,16,0.538111255,0.842873821,-4.2738679,4.27312,-22535.1,-37929.9,44096.568,105.743,167.732,liggghts_pair_gran_local,dyne
stage5_rho095,73,76,0.721996025,0.691897203,-2.0455745,2.04624,-6055.14,-3364.55,6699.707,109.873,145.104,liggghts_pair_gran_local,dyne
stage5_rho095,53,76,-0.607736706,0.794138588,-10.9786924,10.9785,51764.5,-65228.1,83259.3738,123.085,147.426,liggghts_pair_gran_local,dyne
stage5_rho095,76,16,-0.0420005687,0.999117587,-4.73853205,4.73804,11191.9,-51060.6,51485.5167,118.045,164.716,liggghts_pair_gran_local,dyne
stage5_rho095,20,38,-0.689093872,0.724672088,-6.77475285,6.77492,35065.5,-22353.1,40362.3767,154.856,167.648,liggghts_pair_gran_local,dyne
stage5_rho095,20,7,0.973773824,0.227518218,-3.80605718,3.8061,-39576.2,-5807.53,39859.6661,173.212,163.423,liggghts_pair_gran_local,dyne
stage5_rho095,4,7,-0.973581665,0.228339092,-1.02237945,1.02224,89748.7,-21128.4,92202.1501,245.882,162.858,liggghts_pair_gran_local,dyne
stage5_rho095,4,45,-0.323451342,0.946244804,-4.5492771,4.54913,25996,-46156.7,52084.1676,271.843,187.745,liggghts_pair_gran_local,dyne
stage5_rho095,4,66,0.582285968,0.812984042,-0.382750635,0.382716,-779.094,-1005.3,1270.94579,305.896,185.543,liggghts_pair_gran_local,dyne
stage5_rho095,4,5,0.976836048,0.213989102,-1.15496528,1.1556,-110581,-13091.2,110820.947,320.886,162.292,liggghts_pair_gran_local,dyne
stage5_rho095,40,5,-0.667497822,0.74461175,-4.2005931,4.20039,34816.8,-30849.7,46211.2582,382.349,143.82,liggghts_pair_gran_local,dyne
stage5_rho095,3,19,0.998827516,0.0484106792,-4.34522553,4.34522,-49110.8,8912.31,48621.7169,73.7547,172.486,liggghts_pair_gran_local,dyne
stage5_rho095,3,49,0.861896242,0.507084676,-0.547054901,0.546718,-2191.39,-554.638,2169.98683,71.3158,190.324,liggghts_pair_gran_local,dyne
stage5_rho095,19,49,-0.135461937,0.990782551,-1.99473268,1.99424,1414.96,-6312.46,6445.95261,84.0285,184.955,liggghts_pair_gran_local,dyne
stage5_rho095,19,16,0.928919632,0.370281404,-3.07715142,3.07699,-24570.9,-11127.8,26944.9063,96.726,177.476,liggghts_pair_gran_local,dyne
stage5_rho095,49,16,0.951636607,-0.307225923,-0.469879434,0.469954,-1384.62,946.052,1608.31239,94.6168,192.904,liggghts_pair_gran_local,dyne
stage5_rho095,16,38,0.942555992,-0.334048203,-4.04068484,4.04073,-35256.6,21904.4,40548.6981,137.317,178.482,liggghts_pair_gran_local,dyne
stage5_rho095,38,51,0.557719796,0.830029294,-0.352712424,0.352489,-191.071,-448.707,479.003169,155.384,185.258,liggghts_pair_gran_local,dyne
stage5_rho095,51,7,0.884036699,-0.467417495,-0.108489124,0.1085,-147.466,131.537,191.848331,174.004,189.838,liggghts_pair_gran_local,dyne
stage5_rho095,7,34,0.814256402,0.580505393,-4.22266611,4.22234,-31355.8,-36248.1,46573.9723,237.587,192.448,liggghts_pair_gran_local,dyne
stage5_rho095,34,45,0.999801853,-0.0199061694,-5.30289892,5.30312,-27786.4,8609.4,27952.2368,257.659,199.176,liggghts_pair_gran_local,dyne
stage5_rho095,66,5,0.869898637,-0.493230536,-0.259488976,0.259656,-686.8,228.7,710.246928,324.662,189.654,liggghts_pair_gran_local,dyne
stage5_rho095,5,17,0.748791163,0.662806,-7.01549476,7.01478,-74071.6,-66788.3,99731.8904,383.682,192.876,liggghts_pair_gran_local,dyne
