x_um,y_um,voltage_v,jx_a_m2,jy_a_m2,jmag_a_m2,joule_w_m3,temperature_k
305.0,0.0,0.0,-0.0,-8638880.55139552,8638880.55139552,4112179012.1349297,293.15
310.0,0.0,0.0,-0.0,-9647935.452468863,9647935.452468863,4481193683.085967,293.15
314.99999999999994,0.0,0.0,-0.0,-10711332.647465065,10711332.647465065,4829475854.916405,293.15
320.0,0.0,0.0,-0.0,-11680729.954588015,11680729.954588015,5105358009.800262,293.15
325.0,0.0,0.0,-0.0,-12366194.829327535,12366194.829327535,5254447966.301423,293.15
330.0,0.0,0.0,-0.0,-12606850.720369946,12606850.720369946,5239778259.113164,293.15
335.0,0.0,0.0,-0.0,-12348502.271815775,12348502.271815775,5057644867.761012,293.15
339.99999999999994,0.0,0.0,-0.0,-11672102.20924019,11672102.20924019,4740475196.161326,293.15
345.0,0.0,0.0,-0.0,-10754904.782021197,10754904.782021197,4345945032.019063,293.15
350.0,0.0,0.0,-0.0,-9802366.193265816,9802366.193265816,3939827711.317719,293.15
355.0,0.0,0.0,-0.0,-8991663.281268572,8991663.281268572,3579713042.837348,293.15
359.99999999999994,0.0,0.0,-0.0,-8426991.121477563,8426991.121477563,3299204373.1087074,293.15
365.0,0.0,0.0,-0.0,-8093993.037608467,8093993.037608467,3091999597.5248256,293.15
370.0,0.0,0.0,-0.0,-7838134.595723108,7838134.595723108,2907562002.8759017,293.15
375.0,0.0,0.0,-0.0,-7417069.689841528,7417069.689841528,2672705926.953827,293.15
379.99999999999994,0.0,0.0,-0.0,-6629930.011962726,6629930.011962726,2332272481.0645657,293.15
385.0,0.0,0.0,-0.0,-5447533.770684617,5447533.770684617,1883785773.320413,293.15
390.0,0.0,0.0,-0.0,-4044334.740505155,4044334.740505155,1383331124.8751512,293.15
395.0,0.0,0.0,-0.0,-2699951.449056604,2699951.449056604,916759395.8955187,293.15
399.99999999999994,0.0,0.0,-0.0,-1644793.1119337003,1644793.1119337003,555033878.3636267,293.15
0.0,4.969012714285714,0.002077927312149564,72057.10085030405,-4036012.0940159126,4036655.279910047,1440769098.7725248,293.19130677768607
5.0,4.969012714285714,0.0020460244294559474,137802.91029706993,-6115372.980057668,6116925.398213202,2155841254.6500072,293.19198622476546
10.0,4.969012714285714,0.001998413810476349,239823.7678725672,-8272475.888693395,8275951.472105801,2860758206.05395,293.19256898248074
14.999999999999998,4.969012714285714,0.0019457085735830738,311404.5639129033,-10096809.10516382,10101610.114657206,3411821153.0416203,293.19284467442264
20.0,4.969012714285714,0.001894143154568396,339746.3223359869,-11369839.387223618,11374914.29659153,3746907177.381768,293.19285610983604
24.999999999999996,4.969012714285714,0.0018471797013869008,330782.8491763847,-12183454.503228147,12187944.081162313,3914229303.0810385,293.1927229698242
29.999999999999996,4.969012714285714,0.0018068539731263098,293736.88990319736,-12800735.186395304,12804104.914936803,4014688796.8121634,293.19255963718524
35.0,4.969012714285714,0.001775144626894012,228008.68770974345,-13402988.12438312,13404927.400923366,4118193087.2096663,293.19245266480686
40.0,4.969012714285714,0.0017545227064247155,129774.51705831508,-13979806.438637791,13980408.773961382,4233708067.3713717,293.1924640384061
44.99999999999999,4.969012714285714,0.0017469930537321206,7978.480523452306,-14415642.513409857,14415644.721294332,4337151518.205984,293.1926303619314
49.99999999999999,4.969012714285714,0.0017528551185747709,-114177.87340418981,-14606195.34316138,14606641.605426084,4402241016.82006,293.1929544918969
54.99999999999999,4.969012714285714,0.00177058626726914,-212679.49726264074,-14496478.60211676,14498038.6408019,4408471480.757275,293.19340767771234
59.99999999999999,4.969012714285714,0.0017975262789862614,-271837.3321892249,-14104640.944493305,14107260.248122197,4349544361.634958,293.1939466625995
65.0,4.969012714285714,0.0018300838863614852,-284413.475118955,-13574882.841841666,13577861.952257304,4254199986.4068165,293.1945279326964
70.0,4.969012714285714,0.0018632523046986597,-252487.4503443453,-13158629.327915445,13161051.466431467,4187050024.4348865,293.19510575508383
75.0,4.969012714285714,0.0018912060685258424,-190583.8277158899,-13062051.019822905,13063441.316890562,4206228263.445966,293.19562717300295
80.0,4.969012714285714,0.0019102953864647738,-125823.68213285916,-13299031.092278447,13299626.295215003,4317420646.516861,293.19604903905474
84.99999999999999,4.969012714285714,0.001921962784197218,-92439.09701911914,-13706592.334584558,13706904.041874295,4476710891.874614,293.19637272239925
89.99999999999999,4.969012714285714,0.0019323534852505333,-116645.7964370976,-14072067.553943237,14072550.994207427,4629246143.216484,293.1966593076297
94.99999999999999,4.969012714285714,0.0019492692681765639,-198042.22521936585,-14237103.697071219,14238481.042728147,4738172979.788788,293.19700524746304
99.99999999999999,4.969012714285714,0.0019787060176218755,-304670.913838266,-14159852.542777214,14163129.89416299,4797367843.16583,293.1974941083049
104.99999999999999,4.969012714285714,0.002022239817875092,-392425.2253595898,-13950446.679834463,13955965.037373908,4839015729.846141,293.1981524694166
109.99999999999999,4.969012714285714,0.0020763456833650445,-436371.6321461421,-13808439.139792206,13815332.485274728,4918317946.503044,293.1989334414312
114.99999999999999,4.969012714285714,0.002134851256650001,-441864.6944689685,-13836174.645628337,13843228.425210161,5059380033.6930895,293.19973844870657
119.99999999999999,4.969012714285714,0.002193172868763857,-426239.175395222,-13899895.922335131,13906429.681495909,5207542000.263774,293.2004605429136
125.0,4.969012714285714,0.002249795423163037,-396100.7573079175,-13724550.95047352,13730265.642080037,5255978245.043419,293.2010078000899
130.0,4.969012714285714,0.002303767343850921,-343911.38746395044,-13115803.503781239,13120311.604235152,5122448470.604069,293.2012900708164
135.0,4.969012714285714,0.002352282223559416,-265744.372684716,-12038055.987858731,12040988.831422238,4781760517.060261,293.2012031113287
140.0,4.969012714285714,0.0023915400868519407,-175802.57579167714,-10520234.712219916,10521703.519195542,4236991680.465824,293.20064698183467
145.0,4.969012714285714,0.002419664053978286,-98765.12421234262,-8610940.107974207,8611506.493806964,3506716587.133731,293.1995739611147
150.0,4.969012714285714,0.002438311241807715,-51227.026011267524,-6466613.290066784,6466816.191253801,2659661889.621987,293.19804030213777
155.0,4.969012714285714,0.0024522910146365087,-33853.520174147685,-4393424.652917221,4393555.080079113,1828034184.4616187,293.1962520710939
160.0,4.969012714285714,0.002470417380389494,-39221.178091042486,-2716553.4730942342,2716836.5929866293,1151429059.2023938,293.19458090181934
165.0,4.969012714285714,0.0025135631284763146,-59998.17529226232,-1605464.0368646607,1606584.7486840442,705714988.6233447,293.19348147751947
169.99999999999997,4.969012714285714,0.0026347002134161357,-87378.67310073142,-1039543.1675650567,1043209.0057816966,492429480.348538,293.193320101861
175.0,4.969012714285714,0.0029095118222997427,-120029.0370271696,-926636.5358472764,934377.9959399251,494317799.0327928,293.19427797322686
179.99999999999997,4.969012714285714,0.003315280624349905,-165968.98677967838,-1248596.9689484935,1259579.3327297962,748184282.8725045,293.1963917327642
