x_um,y_um,contact_factor,electrical_contact_factor,thermal_contact_factor,sigma_s_m,k_w_mk
105.0,0.0,0.21138646367946673,0.21138646367946673,0.2088391267715836,21217.507721578728,36.70713014172669
110.0,0.0,0.2237432896921525,0.2237432896921525,0.20379351001802568,22451.954640246036,36.30348080144205
115.0,0.0,0.23344868009954103,0.23344868009954103,0.200463367543281,23421.523141944148,36.03706940346248
120.0,0.0,0.23288638954984095,0.23288638954984095,0.19654131162959662,23365.35031602911,35.72330493036773
125.0,0.0,0.21368987269059822,0.21368987269059822,0.18766572804505757,21447.61828179076,35.013258243604604
130.0,0.0,0.17473719514789593,0.17473719514789593,0.17172335118003662,17556.245795274805,33.73786809440293
135.0,0.0,0.12482992429642246,0.12482992429642246,0.15005574359541476,12570.509437212604,32.004459487633184
140.0,0.0,0.07707126911962846,0.07707126911962846,0.12502061236168652,7799.419785050883,30.00164898893492
145.0,0.0,0.040897780029785925,0.040897780029785925,0.09810849010324553,4185.6882249756145,27.848679208259643
150.0,0.0,0.01859732706211892,0.01859732706211892,0.07078454481925603,1957.8729735056802,25.662763585540482
155.0,0.0,0.007233046784482377,0.007233046784482377,0.04568932198645381,822.5813737697895,23.655145758916305
160.0,0.0,0.0024025347895243565,0.0024025347895243565,0.025815828972650556,340.0132254734832,22.065266317812046
165.0,0.0,0.0006818598953248557,0.0006818598953248557,0.01268058156181961,168.11780354295308,21.01444652494557
170.0,0.0,0.00017324457590433856,0.00017324457590433856,0.005762775137710363,117.30713313284342,20.46102201101683
175.0,0.0,8.111161092581852e-05,8.111161092581852e-05,0.0036012776009485595,108.10304993148927,20.288102208075884
180.0,0.0,0.00021418134211328359,0.00021418134211328359,0.005189162095905039,121.39671607711703,20.415132967672402
185.0,0.0,0.0007799796740162757,0.0007799796740162757,0.010444335066433184,177.91996943422595,20.835546805314653
190.0,0.0,0.0024901703244146864,0.0024901703244146864,0.01959189326841396,348.76801540902716,21.567351461473116
195.0,0.0,0.006816408869990811,0.006816408869990811,0.032177872048973,780.9592461120819,22.57422976391784
200.0,0.0,0.01601139987446383,0.01601139987446383,0.04676081200923425,1699.5388474589367,23.74086496073874
205.0,0.0,0.03231277384216123,0.03231277384216123,0.06167827731454425,3328.0461068319073,24.93426218516354
210.0,0.0,0.05606640043231671,0.05606640043231671,0.07591004372106035,5701.0334031884395,26.072803497684827
215.0,0.0,0.0836975213735431,0.0836975213735431,0.08873300006627474,8461.382385216955,27.09864000530198
220.0,0.0,0.1077101309993007,0.1077101309993007,0.09865578709105981,10860.24208683014,27.892462967284786
225.0,0.0,0.12021931227166141,0.12021931227166141,0.10372031153590595,12109.909295938975,28.297624922872476
230.0,0.0,0.11820101904340637,0.11820101904340637,0.10367911523929749,11908.281802436297,28.294329219143798
235.0,0.0,0.10576019447524654,0.10576019447524654,0.1014712466632855,10665.44342807713,28.11769973306284
240.0,0.0,0.09062651947879796,0.09062651947879796,0.10157898089453012,9153.589295931917,28.12631847156241
245.0,0.0,0.07793455199152907,0.07793455199152907,0.10655524563827644,7885.661743953754,28.524419651062114
250.0,0.0,0.06736778215515751,0.06736778215515751,0.11510826925093873,6830.041437300236,29.2086615400751
255.0,0.0,0.05588758570463753,0.05588758570463753,0.12306482771557187,5683.169811893289,29.84518621724575
260.0,0.0,0.042262515991673806,0.042262515991673806,0.125909797580577,4322.025347568213,30.07278380644616
265.0,0.0,0.028692470565745073,0.028692470565745073,0.12139835006614884,2966.3778095179327,29.711868005291905
270.0,0.0,0.01906789445193378,0.01906789445193378,0.11115927841568377,2004.8826557481846,28.8927422732547
275.0,0.0,0.01672578644664392,0.01672578644664392,0.10002026630297739,1770.9060660197276,28.001621304238192
280.0,0.0,0.02360271047079581,0.02360271047079581,0.09301675164578069,2457.9107760325014,27.441340131662457
285.0,0.0,0.040212384378686405,0.040212384378686405,0.09250197018002072,4117.217199430772,27.400157614401657
290.0,0.0,0.06551499148706584,0.06551499148706584,0.09784986190271773,6644.947649557877,27.827988952217417
