stage_id,target_rho_total,actual_rho_total,current_height_um,particle_id,type,shape,material,x_um,y_um,z_um,r_um,rotation_rad,vx_cm_s,vy_cm_s,vz_cm_s,contact_count
pilot_final,0.485828742,0.485828742,105,15,2,DS,Diamond,129.343,81.6834,21.0919,18,0.0,0.000464489,0.000492038,0.000482767,6
pilot_final,0.485828742,0.485828742,105,85,1,Al,Al,153.546,66.1791,32.1624,13,0.0,9.02397e-05,0.000379175,0.000268345,3
pilot_final,0.485828742,0.485828742,105,23,1,Al,Al,158.429,80.2721,11.0192,13,0.0,0.000177016,0.000486222,2.09785e-05,7
pilot_final,0.485828742,0.485828742,105,24,1,Al,Al,177.359,77.2017,32.143,13,0.0,-0.000403219,1.01445e-05,-8.11135e-06,2
pilot_final,0.485828742,0.485828742,105,27,1,Al,Al,199.918,76.0791,14.4555,13,0.0,-0.000227948,7.72611e-05,-0.000202922,4
pilot_final,0.485828742,0.485828742,105,36,1,Al,Al,203.177,58.1731,32.1543,13,0.0,-6.52886e-05,-0.000221536,-0.000234414,4
pilot_final,0.485828742,0.485828742,105,14,2,DS,Diamond,230.284,71.7625,26.934,18,0.0,-0.000328618,2.13837e-05,-0.000165685,7
pilot_final,0.485828742,0.485828742,105,64,1,Al,Al,259.808,64.6888,32.1501,13,0.0,-9.92453e-05,9.89253e-05,7.84326e-05,3
pilot_final,0.485828742,0.485828742,105,50,1,Al,Al,276.609,84.0061,32.0245,13,0.0,-0.000147975,-4.7535e-05,-7.07395e-05,3
pilot_final,0.485828742,0.485828742,105,42,1,Al,Al,307.553,58.4102,30.677,13,0.0,9.75923,-19.3584,44.818,0
pilot_final,0.485828742,0.485828742,105,7,2,DL,Diamond,370.159,75.0875,15.122,30,0.0,-2.41625e-07,-8.81245e-08,-7.76668e-07,2
pilot_final,0.485828742,0.485828742,105,26,1,Al,Al,19.4792,91.6031,16.1675,13,0.0,13.8197,-3.06781,-31.6555,0
pilot_final,0.485828742,0.485828742,105,90,1,Al,Al,77.897,92.6189,33.0435,13,0.0,-0.00067217,0.00014408,0.000285296,2
pilot_final,0.485828742,0.485828742,105,69,1,Al,Al,103.086,92.2712,32.3252,13,0.0,0.000137949,3.5927e-05,-1.03108e-05,2
pilot_final,0.485828742,0.485828742,105,30,1,Al,Al,155.67,92.4442,32.5432,13,0.0,0.000175917,0.000337963,-3.77251e-05,2
pilot_final,0.485828742,0.485828742,105,33,1,Al,Al,180.673,92.3922,11.7293,13,0.0,-0.000146461,-5.70395e-06,-0.000169456,5
pilot_final,0.485828742,0.485828742,105,49,1,Al,Al,208.084,92.3453,32.2372,13,0.0,-0.000473562,-2.40558e-05,-2.10232e-05,2
pilot_final,0.485828742,0.485828742,105,22,1,Al,Al,219.511,92.2794,6.73003,13,0.0,4.14614e-05,6.33658e-05,-0.000353543,2
pilot_final,0.485828742,0.485828742,105,53,1,Al,Al,252.438,92.297,32.0604,13,0.0,-0.000321794,5.41926e-05,-5.49577e-05,2
pilot_final,0.485828742,0.485828742,105,9,2,DS,Diamond,323.759,87.0359,12.8406,18,0.0,-2.17494e-06,-4.44436e-06,3.29418e-06,3
pilot_final,0.485828742,0.485828742,105,65,1,Al,Al,300.711,92.1432,32.2706,13,0.0,-4.45586e-05,2.54448e-05,-1.81912e-05,2
