x_um,y_um,voltage_v,jx_a_m2,jy_a_m2,jmag_a_m2,joule_w_m3,temperature_k
119.99999999999999,0.0,0.0,-0.0,-10437786.660688616,10437786.660688616,1071918298.4419647,293.15
125.0,0.0,0.0,-0.0,-10313071.546095727,10313071.546095727,1046455859.2049829,293.15
130.0,0.0,0.0,-0.0,-10272770.258337315,10272770.258337315,1038293186.0470651,293.15
135.0,0.0,0.0,-0.0,-10449690.850634608,10449690.850634608,1074364716.6249726,293.15
140.0,0.0,0.0,-0.0,-8631451.447869213,8631451.447869213,950803611.2828007,293.15
145.0,0.0,0.0,-0.0,-5081877.2739403695,5081877.2739403695,620392171.0200431,293.15
150.0,0.0,0.0,-0.0,-2430373.0124823065,2430373.0124823065,311131069.9343479,293.15
155.0,0.0,0.0,-0.0,-975931.2648082348,975931.2648082348,127916757.69765452,293.15
160.0,0.0,0.0,-0.0,-333980.93166365265,333980.93166365265,43896026.905179374,293.15
165.0,0.0,0.0,-0.0,-100548.00127650225,100548.00127650225,12733321.747604528,293.15
169.99999999999997,0.0,0.0,-0.0,-30372.911217485696,30372.911217485696,3323851.2995980917,293.15
175.0,0.0,0.0,-0.0,-14733.924214468607,14733.924214468607,1179858.6117613346,293.15
179.99999999999997,0.0,0.0,-0.0,-18078.389833548114,18078.389833548114,1024189.0332146755,293.15
185.0,0.0,0.0,-0.0,-41483.89330318458,41483.89330318458,1925822.8770787,293.15
189.99999999999997,0.0,0.0,-0.0,-110413.92260968992,110413.92260968992,4635343.637894987,293.15
195.0,0.0,0.0,-0.0,-274347.2723947819,274347.2723947819,10717505.45949076,293.15
199.99999999999997,0.0,0.0,-0.0,-594931.162459758,594931.162459758,21635992.648320846,293.15
205.0,0.0,0.0,-0.0,-1097193.1203731655,1097193.1203731655,36578675.51216146,293.15
209.99999999999997,0.0,0.0,-0.0,-1677247.0389087542,1677247.0389087542,49328290.63948242,293.15
215.0,0.0,0.0,-0.0,-2169040.8913977006,2169040.8913977006,55294654.88866533,293.15
219.99999999999997,0.0,0.0,-0.0,-2311277.21899628,2311277.21899628,52559222.25446064,293.15
225.0,0.0,0.0,-0.0,-2136155.209826805,2136155.209826805,44896290.77175871,293.15
229.99999999999997,0.0,0.0,-0.0,-1995135.2289827007,1995135.2289827007,39164224.11632907,293.15
235.0,0.0,0.0,-0.0,-1867517.326128252,1867517.326128252,34314220.06393625,293.15
239.99999999999997,0.0,0.0,-0.0,-1598752.0460254368,1598752.0460254368,27746413.960928466,293.15
245.0,0.0,0.0,-0.0,-1300322.7900912515,1300322.7900912515,21339990.14629513,293.15
250.0,0.0,0.0,-0.0,-1043662.4244773845,1043662.4244773845,15900192.467936719,293.15
254.99999999999997,0.0,0.0,-0.0,-792385.0349764456,792385.0349764456,11044838.690857077,293.15
260.0,0.0,0.0,-0.0,-553893.5659669044,553893.5659669044,7132622.402389756,293.15
265.0,0.0,0.0,-0.0,-357915.0457775339,357915.0457775339,4381863.389728616,293.15
270.0,0.0,0.0,-0.0,-238394.7643796358,238394.7643796358,2920089.1701871236,293.15
274.99999999999994,0.0,0.0,-0.0,-219191.80432973543,219191.80432973543,2812224.785548066,293.15
280.0,0.0,0.0,-0.0,-318922.77361787076,318922.77361787076,4226205.234611558,293.15
285.0,0.0,0.0,-0.0,-531793.0306805689,531793.0306805689,6909157.336670882,293.15
290.0,0.0,0.0,-0.0,-789800.6151428289,789800.6151428289,9362903.782951066,293.15
294.99999999999994,0.0,0.0,-0.0,-1061494.839499026,1061494.839499026,11418249.24732701,293.15
300.0,0.0,0.0,-0.0,-1043717.4049375968,1043717.4049375968,10717924.76746869,293.15
305.0,0.0,0.0,-0.0,-1017040.4170109071,1017040.4170109071,10177035.203831919,293.15
310.0,0.0,0.0,-0.0,-995059.0400989798,995059.0400989798,9741874.981775507,293.15
314.99999999999994,0.0,0.0,-0.0,-971311.9566009095,971311.9566009095,9282443.66852051,293.15
320.0,0.0,0.0,-0.0,-943560.0532665772,943560.0532665772,8759593.348936992,293.15
325.0,0.0,0.0,-0.0,-911268.1829953816,911268.1829953816,8170286.144658142,293.15
330.0,0.0,0.0,-0.0,-874634.431781943,874634.431781943,7526585.391092397,293.15
335.0,0.0,0.0,-0.0,-834162.2897416926,834162.2897416926,6846142.869359736,293.15
339.99999999999994,0.0,0.0,-0.0,-790453.1987514169,790453.1987514169,6147480.718289658,293.15
