artifact,calibration_diagnosis,chain_coverage,d1_delta,d1_first,d1_last,d1_trend,diamond_size_case,e_al_emax_gpa,final_settle_steps,initial_settle_steps,liggghts_commit,min_chain_length,mu_al_al,mu_al_diamond,mu_al_tool,mu_al_wall,mu_diamond_diamond,mu_diamond_tool,mu_diamond_wall,mu_scale,mu_wall_scale,p95_mpa,participation_delta,participation_first,participation_last,participation_trend,particle_count_scale,particle_count_total,seed_index,stage_settle_steps,status,threshold_factor,time_step_seconds,top_velocity_cm_s,trend_score,zhang_stage_status
dia60al40-dem-artifacts-sizeE-pscale2-Emax96.417-mu0.693-wallmu1-seed1-settle1-vel50,needs_participation_increase,1.0,-0.7739585818364145,0.7739585818364145,0.0,decreasing,E,96.417,50000,20000,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,2,0.2079,0.2079,0.05544,0.05544,0.0693,0.05544,0.05544,0.693,1.0,632.310044,-0.10653193252945337,0.8109152552611899,0.7043833227317365,decreasing,2,129,1,20000,review,0.25,2e-10,50.0,1,pass
dia60al40-dem-artifacts-sizeE-pscale2-Emax96.417-mu0.693-wallmu1-seed1-settle1-vel50,needs_participation_increase,1.0,-0.7739585818364145,0.7739585818364145,0.0,decreasing,E,96.417,50000,20000,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,2,0.2079,0.2079,0.05544,0.05544,0.0693,0.05544,0.05544,0.693,1.0,632.310044,-0.02166073116046019,0.8109152552611899,0.7892545241007297,decreasing,2,129,1,20000,review,0.5,2e-10,50.0,1,pass
dia60al40-dem-artifacts-sizeE-pscale2-Emax96.417-mu0.693-wallmu1-seed1-settle1-vel50,needs_physics_calibration,1.0,0.0,0.0,0.0,flat,E,96.417,50000,20000,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,3,0.2079,0.2079,0.05544,0.05544,0.0693,0.05544,0.05544,0.693,1.0,632.310044,-0.13827670845968953,0.8109152552611899,0.6726385468015004,decreasing,2,129,1,20000,review,0.1,2e-10,50.0,0,pass
dia60al40-dem-artifacts-sizeE-pscale2-Emax96.417-mu0.693-wallmu1-seed1-settle1-vel50,needs_physics_calibration,1.0,0.0,0.0,0.0,flat,E,96.417,50000,20000,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,3,0.2079,0.2079,0.05544,0.05544,0.0693,0.05544,0.05544,0.693,1.0,632.310044,-0.10653193252945337,0.8109152552611899,0.7043833227317365,decreasing,2,129,1,20000,review,0.25,2e-10,50.0,0,pass
dia60al40-dem-artifacts-sizeE-pscale2-Emax96.417-mu0.693-wallmu1-seed1-settle1-vel50,needs_physics_calibration,1.0,0.0,0.0,0.0,flat,E,96.417,50000,20000,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,3,0.2079,0.2079,0.05544,0.05544,0.0693,0.05544,0.05544,0.693,1.0,632.310044,-0.02166073116046019,0.8109152552611899,0.7892545241007297,decreasing,2,129,1,20000,review,0.5,2e-10,50.0,0,pass
dia60al40-dem-artifacts-sizeE-pscale2-Emax96.417-mu0.693-wallmu1-seed1-settle1-vel50,needs_physics_calibration,1.0,0.9783704550540792,0.0,0.9783704550540792,increasing,E,96.417,50000,20000,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,2,0.2079,0.2079,0.05544,0.05544,0.0693,0.05544,0.05544,0.693,1.0,632.310044,-0.1261479731252031,0.9876511663561449,0.8615031932309418,decreasing,2,129,1,20000,review,0.75,2e-10,50.0,0,pass
dia60al40-dem-artifacts-sizeE-pscale2-Emax96.417-mu0.693-wallmu1-seed1-settle1-vel50,needs_physics_calibration,1.0,0.9783704550540792,0.0,0.9783704550540792,increasing,E,96.417,50000,20000,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,3,0.2079,0.2079,0.05544,0.05544,0.0693,0.05544,0.05544,0.693,1.0,632.310044,-0.1261479731252031,0.9876511663561449,0.8615031932309418,decreasing,2,129,1,20000,review,0.75,2e-10,50.0,0,pass
dia60al40-dem-artifacts-sizeE-pscale2-Emax96.417-mu0.693-wallmu1-seed1-settle1-vel50,needs_physics_calibration,1.0,2.1548645023673982,0.0,2.1548645023673982,increasing,E,96.417,50000,20000,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,2,0.2079,0.2079,0.05544,0.05544,0.0693,0.05544,0.05544,0.693,1.0,632.310044,-0.08193492383979517,0.9876511663561449,0.9057162425163497,decreasing,2,129,1,20000,review,1.0,2e-10,50.0,0,pass
dia60al40-dem-artifacts-sizeE-pscale2-Emax96.417-mu0.693-wallmu1-seed1-settle1-vel50,needs_physics_calibration,1.0,0.0,0.0,0.0,flat,E,96.417,50000,20000,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,3,0.2079,0.2079,0.05544,0.05544,0.0693,0.05544,0.05544,0.693,1.0,632.310044,-0.08193492383979517,0.9876511663561449,0.9057162425163497,decreasing,2,129,1,20000,review,1.0,2e-10,50.0,0,pass
dia60al40-dem-artifacts-sizeE-pscale2-Emax96.417-mu0.693-wallmu1-seed1-settle1-vel50,needs_physics_calibration,1.0,1.5035435525770318,0.0,1.5035435525770318,increasing,E,96.417,50000,20000,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,2,0.2079,0.2079,0.05544,0.05544,0.0693,0.05544,0.05544,0.693,1.0,632.310044,-0.04932072534411991,0.9876511663561449,0.938330441012025,decreasing,2,129,1,20000,review,1.25,2e-10,50.0,0,pass
dia60al40-dem-artifacts-sizeE-pscale2-Emax96.417-mu0.693-wallmu1-seed1-settle1-vel50,needs_physics_calibration,1.0,0.827985996627132,0.0,0.827985996627132,increasing,E,96.417,50000,20000,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,3,0.2079,0.2079,0.05544,0.05544,0.0693,0.05544,0.05544,0.693,1.0,632.310044,-0.04932072534411991,0.9876511663561449,0.938330441012025,decreasing,2,129,1,20000,review,1.25,2e-10,50.0,0,pass
dia60al40-dem-artifacts-sizeE-pscale2-Emax96.417-mu0.693-wallmu1-seed1-settle1-vel50,needs_physics_calibration,1.0,0.9733152280101924,0.0,0.9733152280101924,increasing,E,96.417,50000,20000,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,2,0.2079,0.2079,0.05544,0.05544,0.0693,0.05544,0.05544,0.693,1.0,632.310044,-0.02578292287169104,0.9876511663561449,0.9618682434844539,decreasing,2,129,1,20000,review,1.5,2e-10,50.0,0,pass
dia60al40-dem-artifacts-sizeE-pscale2-Emax96.417-mu0.693-wallmu1-seed1-settle1-vel50,needs_physics_calibration,1.0,0.6830586825547927,0.0,0.6830586825547927,increasing,E,96.417,50000,20000,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,3,0.2079,0.2079,0.05544,0.05544,0.0693,0.05544,0.05544,0.693,1.0,632.310044,-0.02578292287169104,0.9876511663561449,0.9618682434844539,decreasing,2,129,1,20000,review,1.5,2e-10,50.0,0,pass
dia60al40-dem-artifacts-sizeE-pscale2-Emax96.417-mu0.693-wallmu1-seed1-settle1-vel50,needs_physics_calibration,1.0,0.7576091917544556,0.0,0.7576091917544556,increasing,E,96.417,50000,20000,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,2,0.2079,0.2079,0.05544,0.05544,0.0693,0.05544,0.05544,0.693,1.0,632.310044,-0.02543737919839173,1.0,0.9745626208016083,decreasing,2,129,1,20000,review,2.0,2e-10,50.0,0,pass
dia60al40-dem-artifacts-sizeE-pscale2-Emax96.417-mu0.693-wallmu1-seed1-settle1-vel50,needs_physics_calibration,0.8333333333333334,0.0,0.0,0.0,flat,E,96.417,50000,20000,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,4,0.2079,0.2079,0.05544,0.05544,0.0693,0.05544,0.05544,0.693,1.0,632.310044,-0.13827670845968953,0.8109152552611899,0.6726385468015004,decreasing,2,129,1,20000,review,0.1,2e-10,50.0,0,pass
dia60al40-dem-artifacts-sizeE-pscale2-Emax96.417-mu0.693-wallmu1-seed1-settle1-vel50,needs_physics_calibration,0.8333333333333334,0.0,0.0,0.0,flat,E,96.417,50000,20000,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,4,0.2079,0.2079,0.05544,0.05544,0.0693,0.05544,0.05544,0.693,1.0,632.310044,-0.10653193252945337,0.8109152552611899,0.7043833227317365,decreasing,2,129,1,20000,review,0.25,2e-10,50.0,0,pass
dia60al40-dem-artifacts-sizeE-pscale2-Emax96.417-mu0.693-wallmu1-seed1-settle1-vel50,needs_physics_calibration,0.8333333333333334,0.0,0.0,0.0,flat,E,96.417,50000,20000,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,4,0.2079,0.2079,0.05544,0.05544,0.0693,0.05544,0.05544,0.693,1.0,632.310044,-0.02166073116046019,0.8109152552611899,0.7892545241007297,decreasing,2,129,1,20000,review,0.5,2e-10,50.0,0,pass
dia60al40-dem-artifacts-sizeE-pscale2-Emax96.417-mu0.693-wallmu1-seed1-settle1-vel50,needs_physics_calibration,0.8333333333333334,0.9783704550540792,0.0,0.9783704550540792,increasing,E,96.417,50000,20000,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,4,0.2079,0.2079,0.05544,0.05544,0.0693,0.05544,0.05544,0.693,1.0,632.310044,-0.1261479731252031,0.9876511663561449,0.8615031932309418,decreasing,2,129,1,20000,review,0.75,2e-10,50.0,0,pass
dia60al40-dem-artifacts-sizeE-pscale2-Emax96.417-mu0.693-wallmu1-seed1-settle1-vel50,needs_physics_calibration,0.8333333333333334,0.0,0.0,0.0,flat,E,96.417,50000,20000,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,4,0.2079,0.2079,0.05544,0.05544,0.0693,0.05544,0.05544,0.693,1.0,632.310044,-0.08193492383979517,0.9876511663561449,0.9057162425163497,decreasing,2,129,1,20000,review,1.0,2e-10,50.0,0,pass
dia60al40-dem-artifacts-sizeE-pscale2-Emax96.417-mu0.693-wallmu1-seed1-settle1-vel50,needs_physics_calibration,0.8333333333333334,0.827985996627132,0.0,0.827985996627132,increasing,E,96.417,50000,20000,3d5c00f20519e6bb6eb6756f51f1ad36564e649d,4,0.2079,0.2079,0.05544,0.05544,0.0693,0.05544,0.05544,0.693,1.0,632.310044,-0.04932072534411991,0.9876511663561449,0.938330441012025,decreasing,2,129,1,20000,review,1.25,2e-10,50.0,0,pass
